ConvertedCompYearly,Age,YearsCode,YearsCodePro,Country,EdLevel,DevType,Employment,LanguageHaveWorkedWith,DatabaseHaveWorkedWith,PlatformHaveWorkedWith,WebframeHaveWorkedWith,ToolsTechHaveWorkedWith
100511.0,25-34 years old,10,10,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist;Cloud infrastructure engineer;Security professional,"Employed, full-time","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'Solidity', 'SQL', 'TypeScript']","['MongoDB', 'PostgreSQL']",['AWS'],"['Django', 'Flask', 'React.js', 'Vue.js']","['Ansible', 'Docker', 'Kubernetes']"
34548.0,25-34 years old,11,7,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist,"Employed, full-time","['Dart', 'PHP', 'Python', 'TypeScript']","['MySQL', 'PostgreSQL', 'Redis']",['AWS'],"['Next.js', 'Node.js', 'React.js', 'Symfony']","['Docker', 'npm', 'Terraform', 'Yarn']"
23462.0,18-24 years old,5,1,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Employed, full-time","['HTML/CSS', 'Python', 'SQL', 'TypeScript']","['MongoDB', 'PostgreSQL']",[],"['Angular', 'Django', 'FastAPI', 'Flask']",[]
18708.0,25-34 years old,15,8,Croatia,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, mobile","Employed, full-time","['HTML/CSS', 'JavaScript', 'TypeScript']","['MySQL', 'Firebase Realtime Database', 'SQLite']","['AWS', 'Firebase', 'Google Cloud']","['Angular', 'Angular.js', 'Express', 'Node.js']",['npm']
129876.0,25-34 years old,9,8,Nigeria,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end","Employed, full-time;Independent contractor, freelancer, or self-employed;Employed, part-time","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'VBA']","['MariaDB', 'MySQL', 'PostgreSQL']","['DigitalOcean', 'Google Cloud', 'Linode']",[],"['Docker', 'npm', 'Unity 3D', 'Unreal Engine']"
34692.0,25-34 years old,6,5,Poland,Something else,"Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript']",[],[],"['Node.js', 'Nuxt.js', 'Vue.js']","['Docker', 'npm', 'Yarn']"
92000.0,18-24 years old,14,3,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Academic researcher;Scientist,"Employed, full-time","['Bash/Shell', 'C++', 'HTML/CSS', 'Java', 'JavaScript', 'Julia', 'Python', 'SQL']",['PostgreSQL'],"['AWS', 'Microsoft Azure']","['Flask', 'React.js']","['Docker', 'Homebrew', 'npm', 'Terraform']"
51189.0,25-34 years old,17,6,Germany,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",System administrator,"Employed, full-time","['C', 'C++', 'Go', 'Java', 'Ruby', 'Rust', 'Scala']","['PostgreSQL', 'Redis']",['Colocation'],"['Flask', 'Ruby on Rails']","['Ansible', 'Puppet']"
29916.0,25-34 years old,8,6,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, full-time","['C#', 'HTML/CSS', 'JavaScript']","['Elasticsearch', 'MongoDB', 'MySQL', 'Redis']",['Google Cloud'],"['ASP.NET', 'ASP.NET Core ', 'jQuery', 'React.js']","['Docker', 'npm', 'Yarn']"
84925.0,45-54 years old,21,20,Australia,Primary/elementary school,"Developer, front-end;Developer, full-stack;Data or business analyst","Employed, full-time","['Bash/Shell', 'HTML/CSS', 'Java', 'JavaScript', 'Python', 'TypeScript']",[],[],['React.js'],['Homebrew']
32243.0,25-34 years old,10,4,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Cloud infrastructure engineer","Employed, full-time","['Bash/Shell', 'JavaScript', 'Python', 'SQL', 'TypeScript']","['MongoDB', 'MySQL', 'Redis']",['Google Cloud'],"['Express', 'FastAPI', 'Next.js', 'Node.js', 'React.js']","['Docker', 'npm']"
128650.0,45-54 years old,36,22,New Zealand,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Developer, back-end","Independent contractor, freelancer, or self-employed","['C#', 'HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript']",['Microsoft SQL Server'],['Microsoft Azure'],"['Angular.js', 'ASP.NET', 'ASP.NET Core ', 'Express', 'jQuery', 'Node.js', 'React.js', 'Vue.js']",['npm']
8964.0,18-24 years old,5,2,Germany,"Associate degree (A.A., A.S., etc.)","Developer, front-end;Developer, desktop or enterprise applications","Employed, full-time","['C#', 'HTML/CSS', 'JavaScript', 'Python']",['Microsoft SQL Server'],[],"['ASP.NET Core ', 'Blazor', 'Node.js']",['npm']
12072.0,18-24 years old,6,2,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist;Cloud infrastructure engineer","Employed, full-time","['Java', 'JavaScript', 'Python', 'TypeScript']","['CouchDB', 'DynamoDB', 'Microsoft SQL Server', 'MySQL', 'PostgreSQL']",['AWS'],"['Angular', 'Express', 'Node.js']","['Docker', 'Kubernetes', 'npm']"
44790.0,25-34 years old,8,6,Spain,Some college/university study without earning a degree,"Developer, full-stack;Developer, back-end","Employed, full-time","['C', 'Groovy', 'HTML/CSS', 'Java', 'SQL']","['Microsoft SQL Server', 'PostgreSQL']",[],[],['Docker']
113076.0,25-34 years old,20,15,United Kingdom of Great Britain and Northern Ireland,"Other doctoral degree (Ph.D., Ed.D., etc.)","Data scientist or machine learning specialist;Developer, full-stack;Product manager","Employed, full-time","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'Rust', 'SQL', 'TypeScript']",[],"['Google Cloud', 'Microsoft Azure']",['React.js'],"['Docker', 'Kubernetes', 'npm', 'Terraform', 'Unity 3D', 'Yarn']"
166248.0,25-34 years old,3,12,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Engineering manager,"Employed, full-time","['Go', 'Python']","['Cassandra', 'MariaDB', 'MongoDB', 'PostgreSQL']","['AWS', 'Google Cloud', 'Heroku']",[],"['Ansible', 'Docker']"
63828.0,25-34 years old,12,8,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end;Database administrator;DevOps specialist;Cloud infrastructure engineer","Employed, full-time","['C#', 'PowerShell', 'SQL']",['Microsoft SQL Server'],"['Managed Hosting', 'Microsoft Azure']","['ASP.NET', 'ASP.NET Core ']",[]
120000.0,25-34 years old,16,3,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, back-end;DevOps specialist","Employed, full-time","['Bash/Shell', 'Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'PowerShell', 'Python', 'SQL', 'TypeScript']","['MariaDB', 'Microsoft SQL Server', 'MySQL', 'Oracle', 'PostgreSQL']","['AWS', 'DigitalOcean']","['Angular', 'Django', 'Express', 'Flask', 'jQuery', 'Laravel', 'React.js', 'Vue.js']","['Docker', 'npm', 'Yarn']"
94000.0,25-34 years old,7,6,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript', 'Python', 'Ruby', 'TypeScript']",[],[],"['Django', 'React.js', 'Ruby on Rails']",['Docker']
72468.0,25-34 years old,12,18,Colombia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end;Engineering manager;Product manager","Employed, full-time","['HTML/CSS', 'JavaScript', 'Ruby']","['MongoDB', 'Redis']",['AWS'],"['React.js', 'Ruby on Rails']","['npm', 'Yarn']"
68832.0,25-34 years old,11,1,Denmark,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Employed, full-time","['JavaScript', 'TypeScript']",['Cloud Firestore'],"['Firebase', 'Google Cloud']",['Angular'],"['Homebrew', 'npm']"
54000.0,25-34 years old,5,4,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, full-time","['Python', 'SQL']","['PostgreSQL', 'Redis']","['AWS', 'DigitalOcean']",['FastAPI'],['Docker']
4920.0,25-34 years old,8,4,Indonesia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Employed, full-time",['PHP'],['MySQL'],['DigitalOcean'],['jQuery'],[]
230000.0,25-34 years old,15,10,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;DevOps specialist;Cloud infrastructure engineer;Blockchain","Employed, full-time","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Python', 'Rust', 'SQL']","['DynamoDB', 'PostgreSQL', 'SQLite']",['AWS'],"['Laravel', 'React.js']","['Ansible', 'Docker', 'Homebrew', 'Kubernetes', 'Yarn']"
89581.0,35-44 years old,23,16,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Employed, full-time","['HTML/CSS', 'Java', 'JavaScript', 'TypeScript']",['PostgreSQL'],[],['Angular'],"['Docker', 'Kubernetes', 'npm', 'Yarn']"
78000.0,45-54 years old,8,4,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, full-time","['Bash/Shell', 'PowerShell', 'Python', 'SQL']","['Microsoft SQL Server', 'Oracle']",[],[],"['npm', 'Yarn']"
108336.0,18-24 years old,2,3,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Developer, back-end","Employed, full-time","['HTML/CSS', 'Java', 'JavaScript']","['MongoDB', 'MySQL', 'Firebase Realtime Database']","['AWS', 'Google Cloud', 'Heroku']","['Django', 'FastAPI', 'Next.js', 'Node.js', 'React.js']","['npm', 'Yarn']"
18120.0,25-34 years old,6,3,Colombia,"Professional degree (JD, MD, etc.)","Data scientist or machine learning specialist;Engineer, data;Data or business analyst","Employed, full-time","['Bash/Shell', 'PowerShell', 'Python', 'R', 'SQL', 'VBA']","['Microsoft SQL Server', 'MySQL', 'Oracle']","['AWS', 'Google Cloud', 'Microsoft Azure']","['FastAPI', 'Flask']","['Docker', 'Kubernetes']"
175895.0,45-54 years old,26,23,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Engineer, data;Developer, full-stack;Developer, back-end","Employed, full-time","['Bash/Shell', 'Clojure', 'HTML/CSS', 'JavaScript', 'SQL']","['DynamoDB', 'Neo4j', 'PostgreSQL']","['AWS', 'DigitalOcean']",[],"['Docker', 'Homebrew', 'Kubernetes', 'npm']"
420.0,25-34 years old,2,1,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, full-time","['Python', 'SQL']","['MongoDB', 'PostgreSQL', 'SQLite']",['AWS'],[],"['Docker', 'Homebrew']"
24928.0,45-54 years old,12,35,Brazil,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack;Security professional","Employed, full-time;Independent contractor, freelancer, or self-employed","['Bash/Shell', 'C++', 'Delphi']","['Elasticsearch', 'MariaDB', 'Oracle']",['AWS'],"['React.js', 'Vue.js']","['Docker', 'npm', 'Yarn']"
106000.0,25-34 years old,7,3,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, embedded applications or devices","Employed, full-time","['C++', 'Python']",[],[],[],[]
87948.0,25-34 years old,7,6,United Kingdom of Great Britain and Northern Ireland,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, full-stack;Developer, back-end","Employed, full-time","['C#', 'HTML/CSS', 'JavaScript', 'SQL']","['Microsoft SQL Server', 'MongoDB']","['AWS', 'Microsoft Azure']","['ASP.NET', 'ASP.NET Core ']","['Docker', 'Kubernetes']"
175000.0,35-44 years old,20,6,United States of America,"Associate degree (A.A., A.S., etc.)",Security professional,"Employed, full-time;Independent contractor, freelancer, or self-employed","['Go', 'HTML/CSS', 'JavaScript', 'PowerShell', 'TypeScript']",['Microsoft SQL Server'],"['AWS', 'DigitalOcean', 'Microsoft Azure']",['Angular'],"['Docker', 'Kubernetes', 'npm']"
31992.0,25-34 years old,11,6,Netherlands,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;Developer, mobile;DevOps specialist;Developer, game or graphics;Designer;System administrator","Employed, full-time","['C#', 'JavaScript', 'PowerShell', 'SQL']","['MongoDB', 'PostgreSQL']",['Firebase'],['Node.js'],"['Ansible', 'npm', 'Unity 3D']"
47172.0,25-34 years old,13,5,Poland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Security professional","Employed, full-time;Independent contractor, freelancer, or self-employed","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'SQL', 'TypeScript']","['MongoDB', 'PostgreSQL', 'Redis']","['AWS', 'DigitalOcean']","['Angular', 'Express', 'Node.js']","['Docker', 'Homebrew', 'npm']"
85740.0,25-34 years old,6,6,Poland,Some college/university study without earning a degree,"Developer, full-stack","Employed, full-time","['Dart', 'HTML/CSS', 'JavaScript', 'Python', 'TypeScript']","['Elasticsearch', 'MySQL', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'DigitalOcean']","['Express', 'FastAPI', 'Fastify', 'Next.js', 'Node.js', 'React.js']","['Docker', 'Homebrew', 'Kubernetes', 'npm', 'Terraform', 'Yarn']"
143484.0,18-24 years old,8,6,Israel,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end","Employed, full-time","['C#', 'Groovy', 'HTML/CSS', 'Python', 'SQL']","['Elasticsearch', 'MariaDB', 'MongoDB', 'PostgreSQL', 'Redis', 'SQLite']",['AWS'],"['ASP.NET Core ', 'Flask', 'React.js']","['Docker', 'Kubernetes', 'npm', 'Terraform', 'Yarn']"
25594.0,25-34 years old,2,Less than 1 year,Spain,Some college/university study without earning a degree,"Developer, full-stack","Employed, full-time","['HTML/CSS', 'JavaScript', 'Python', 'TypeScript']","['Microsoft SQL Server', 'MongoDB']","['DigitalOcean', 'Linode', 'Microsoft Azure']","['Express', 'Flask', 'Next.js', 'Node.js', 'React.js', 'Vue.js']","['Docker', 'npm', 'Yarn']"
31020.0,25-34 years old,5,4,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript', 'PHP', 'SQL', 'TypeScript']","['MariaDB', 'MongoDB', 'MySQL']","['DigitalOcean', 'Managed Hosting']","['Express', 'Nuxt.js', 'Vue.js']","['Homebrew', 'npm', 'Yarn']"
31176.0,25-34 years old,6,5,Russian Federation,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end","Employed, full-time","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'TypeScript']",['PostgreSQL'],['Heroku'],"['Node.js', 'React.js']","['Docker', 'npm']"
213287.0,25-34 years old,4,4,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Employed, full-time","['JavaScript', 'Kotlin', 'Python', 'TypeScript']","['Cloud Firestore', 'Firebase Realtime Database']",['Firebase'],['Node.js'],"['Docker', 'npm', 'Yarn']"
100000.0,35-44 years old,25,15,United States of America,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, front-end;Engineer, data;Engineer, site reliability;Developer, full-stack;Developer, back-end;Developer, mobile;Engineering manager;Database administrator;DevOps specialist;Cloud infrastructure engineer;Data or business analyst;Designer;System administrator;Security professional","Employed, full-time;Independent contractor, freelancer, or self-employed","['Bash/Shell', 'Go', 'HTML/CSS', 'JavaScript', 'Perl', 'PHP', 'PowerShell', 'Python', 'Scala', 'Solidity', 'SQL', 'TypeScript']","['Cloud Firestore', 'Elasticsearch', 'MariaDB', 'MongoDB', 'MySQL', 'Neo4j', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'DigitalOcean', 'Firebase', 'Google Cloud', 'Linode', 'VMware']","['Angular', 'Angular.js', 'Express', 'jQuery', 'Laravel', 'Next.js', 'Node.js', 'Symfony', 'Vue.js']","['Docker', 'Homebrew', 'npm']"
111129.0,25-34 years old,12,7,Denmark,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;Database administrator","Employed, full-time","['C#', 'F#', 'SQL', 'TypeScript']","['Microsoft SQL Server', 'PostgreSQL']","['DigitalOcean', 'Microsoft Azure']","['Angular', 'ASP.NET', 'ASP.NET Core ']","['Docker', 'npm']"
63986.0,25-34 years old,15,8,Spain,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Security professional","Employed, full-time",['Ruby'],"['PostgreSQL', 'Redis']","['AWS', 'Google Cloud', 'OVH']","['Drupal', 'Ruby on Rails']","['Docker', 'npm']"
240000.0,25-34 years old,10,6,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Other (please specify):;Product manager,"Employed, full-time","['C#', 'F#', 'Go', 'Java', 'JavaScript', 'Python', 'TypeScript']",['Redis'],['AWS'],"['ASP.NET', 'ASP.NET Core ', 'Express', 'Flask', 'Next.js', 'Node.js', 'Ruby on Rails']","['Docker', 'npm', 'Terraform', 'Yarn']"
111693.0,45-54 years old,23,22,Switzerland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist,"Employed, full-time","['Bash/Shell', 'Groovy', 'Perl']",[],[],[],"['Docker', 'Yarn']"
65961.0,25-34 years old,6,6,United Kingdom of Great Britain and Northern Ireland,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack;DevOps specialist","Employed, full-time","['Bash/Shell', 'C#', 'HTML/CSS', 'JavaScript', 'SQL']","['Microsoft SQL Server', 'Oracle', 'PostgreSQL']",['Microsoft Azure'],"['Angular.js', 'ASP.NET', 'ASP.NET Core ', 'jQuery']","['npm', 'Terraform']"
119357.0,55-64 years old,43,35,United Kingdom of Great Britain and Northern Ireland,Some college/university study without earning a degree,"Developer, mobile","Employed, full-time","['Objective-C', 'Swift']",[],"['AWS', 'Firebase']",[],[]
75400.0,18-24 years old,6,2,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",DevOps specialist;Cloud infrastructure engineer,"Employed, full-time","['C', 'HTML/CSS', 'JavaScript', 'Python']","['DynamoDB', 'MySQL']",['AWS'],['Flask'],"['Docker', 'Homebrew', 'Terraform']"
1380000.0,35-44 years old,25,23,United States of America,Some college/university study without earning a degree,"Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Database administrator;Project manager;Designer;Product manager;System administrator","Employed, full-time","['Delphi', 'JavaScript', 'TypeScript']",[],[],[],[]
5159.0,18-24 years old,6,3,India,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack","Employed, full-time","['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript']","['DynamoDB', 'MongoDB', 'Firebase Realtime Database']","['Firebase', 'Google Cloud', 'Heroku']","['Angular', 'Angular.js', 'Django', 'Node.js', 'React.js']",[]
15144.0,18-24 years old,2,Less than 1 year,Argentina,Some college/university study without earning a degree,"Developer, QA or test","Employed, full-time","['Groovy', 'HTML/CSS', 'Java', 'JavaScript', 'SQL']","['Microsoft SQL Server', 'MongoDB', 'MySQL']",[],"['Express', 'jQuery', 'Node.js', 'React.js']",['npm']
64000.0,25-34 years old,11,1,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, full-stack","Employed, full-time","['HTML/CSS', 'TypeScript']",[],[],"['Express', 'Next.js', 'Node.js', 'React.js']",[]
204756.0,35-44 years old,14,10,Germany,Some college/university study without earning a degree,"Developer, full-stack","Independent contractor, freelancer, or self-employed","['Groovy', 'Java', 'JavaScript', 'TypeScript']","['MariaDB', 'MySQL', 'PostgreSQL']","['DigitalOcean', 'Heroku']","['Angular', 'Node.js', 'Vue.js']","['Docker', 'Kubernetes']"
175000.0,25-34 years old,18,10,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript', 'Python', 'TypeScript']",[],['AWS'],['React.js'],"['npm', 'Yarn']"
33600.0,35-44 years old,25,18,Argentina,"Associate degree (A.A., A.S., etc.)","Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript', 'Ruby', 'TypeScript']",[],"['AWS', 'Microsoft Azure']","['jQuery', 'Next.js', 'React.js']","['Docker', 'npm', 'Yarn']"
135000.0,45-54 years old,39,26,United States of America,"Other doctoral degree (Ph.D., Ed.D., etc.)",Educator;Academic researcher,"Employed, full-time","['HTML/CSS', 'Julia', 'MATLAB', 'Python']",[],['Google Cloud'],[],['Docker']
150000.0,25-34 years old,8,5,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Other (please specify):;Developer, embedded applications or devices","Employed, full-time","['Bash/Shell', 'LISP', 'Perl', 'Python', 'Rust']",[],[],[],[]
45857.0,25-34 years old,12,8,Slovenia,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, full-time","['Bash/Shell', 'Go', 'Python']","['DynamoDB', 'MySQL', 'Redis']",['AWS'],['Django'],"['Ansible', 'Docker', 'Homebrew']"
22584.0,25-34 years old,6,2,Mexico,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Engineer, data;Data or business analyst","Employed, full-time","['C#', 'Python', 'SQL']",['Redis'],['Microsoft Azure'],"['ASP.NET Core ', 'Vue.js']",[]
70608.0,25-34 years old,16,11,Azerbaijan,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Developer, back-end","Independent contractor, freelancer, or self-employed","['C#', 'Crystal', 'F#', 'Go', 'HTML/CSS', 'JavaScript', 'Python', 'Ruby', 'Rust', 'SQL']","['Elasticsearch', 'MySQL', 'Oracle', 'PostgreSQL', 'Redis', 'SQLite']","['AWS', 'DigitalOcean', 'Google Cloud', 'Microsoft Azure']","['Django', 'FastAPI', 'Flask', 'React.js', 'Ruby on Rails']","['Docker', 'Homebrew', 'npm', 'Yarn']"
40956.0,35-44 years old,20,15,Germany,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end","Employed, part-time","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'PHP', 'Ruby']","['MySQL', 'PostgreSQL', 'Redis', 'SQLite']",['Google Cloud'],"['React.js', 'Ruby on Rails']","['Docker', 'npm', 'Yarn']"
75000.0,35-44 years old,7,5,Zimbabwe,Some college/university study without earning a degree,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test","Employed, full-time;Independent contractor, freelancer, or self-employed","['C#', 'SQL']","['Elasticsearch', 'Microsoft SQL Server', 'MongoDB', 'PostgreSQL', 'Redis', 'SQLite']","['DigitalOcean', 'Microsoft Azure']","['ASP.NET', 'ASP.NET Core ', 'Blazor', 'React.js']","['Docker', 'npm']"
106644.0,45-54 years old,25,20,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Employed, full-time","['Java', 'SQL']","['MariaDB', 'MySQL', 'Oracle']",[],[],"['Docker', 'Kubernetes']"
25596.0,35-44 years old,3,2,Montenegro,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end","Employed, full-time",['JavaScript'],['PostgreSQL'],"['Google Cloud', 'Microsoft Azure']",['Angular'],[]
1049376.0,35-44 years old,26,15,Italy,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Developer, desktop or enterprise applications;Cloud infrastructure engineer","Employed, full-time","['Haskell', 'Java', 'Scala']",['PostgreSQL'],"['AWS', 'IBM Cloud or Watson', 'Managed Hosting', 'OpenStack']",[],"['Ansible', 'Docker', 'Homebrew', 'Kubernetes']"
75384.0,25-34 years old,14,11,United Kingdom of Great Britain and Northern Ireland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Employed, full-time","['HTML/CSS', 'JavaScript', 'Python', 'SQL', 'TypeScript']",['Microsoft SQL Server'],[],"['Flask', 'React.js']",[]
157850.0,35-44 years old,10,8,Netherlands,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, back-end","Independent contractor, freelancer, or self-employed","['Elixir', 'HTML/CSS', 'Ruby', 'SQL']",['PostgreSQL'],"['AWS', 'DigitalOcean']","['Phoenix', 'Ruby on Rails']","['Docker', 'Homebrew', 'Terraform']"
250000.0,35-44 years old,20,17,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, full-stack","Employed, full-time","['HTML/CSS', 'Java', 'TypeScript']","['DynamoDB', 'MongoDB', 'Redis']",['AWS'],"['ASP.NET', 'Express', 'Node.js', 'React.js']","['Docker', 'Kubernetes', 'npm']"
63986.0,25-34 years old,5,3,Germany,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Developer, front-end","Employed, full-time","['HTML/CSS', 'JavaScript', 'TypeScript']",[],[],"['jQuery', 'Vue.js']","['Homebrew', 'npm']"
47172.0,25-34 years old,5,3,Poland,Some college/university study without earning a degree,"Developer, full-stack;System administrator","Employed, full-time","['Bash/Shell', 'HTML/CSS', 'JavaScript', 'Ruby', 'TypeScript']","['PostgreSQL', 'Redis']","['DigitalOcean', 'Heroku', 'Linode']","['React.js', 'Ruby on Rails']","['Docker', 'Yarn']"
92000.0,35-44 years old,29,17,United States of America,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, front-end;Developer, full-stack;Developer, back-end;Developer, mobile","Employed, full-time","['C#', 'HTML/CSS', 'JavaScript', 'SQL']",['Microsoft SQL Server'],['AWS'],['jQuery'],[]
61428.0,35-44 years old,15,13,Germany,"Associate degree (A.A., A.S., etc.)","Developer, full-stack;Developer, embedded applications or devices;Project manager","Employed, full-time","['Bash/Shell', 'C#', 'HTML/CSS', 'Java', 'JavaScript', 'PHP', 'SQL', 'VBA']","['Microsoft SQL Server', 'MySQL', 'Redis']",[],"['Laravel', 'Node.js', 'Vue.js']","['Docker', 'npm']"
90192.0,25-34 years old,15,11,Turkey,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Developer, back-end;Engineering manager","Employed, full-time","['JavaScript', 'Lua', 'PHP', 'SQL']","['Cassandra', 'DynamoDB', 'MySQL', 'Redis']",['AWS'],[],"['Docker', 'npm']"
26411.0,35-44 years old,18,12,Italy,Some college/university study without earning a degree,"Developer, full-stack","Employed, full-time","['C#', 'HTML/CSS', 'Kotlin', 'PHP', 'SQL']","['MariaDB', 'Microsoft SQL Server', 'SQLite']","['Firebase', 'Managed Hosting', 'OVH', 'VMware']","['ASP.NET', 'jQuery']",[]
250000.0,45-54 years old,30,25,United States of America,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Data scientist or machine learning specialist;Developer, front-end;Developer, back-end;Developer, desktop or enterprise applications;Developer, mobile;Engineering manager;Academic researcher;Project manager;Designer;Blockchain;Security professional","Independent contractor, freelancer, or self-employed","['Assembly', 'C#', 'C++', 'Delphi', 'Java', 'MATLAB', 'Python', 'SQL', 'TypeScript']","['IBM DB2', 'Microsoft SQL Server', 'Neo4j', 'PostgreSQL', 'SQLite']",['AWS'],"['Django', 'Node.js']",['Docker']
